id,priority,priorityRationale,activityType,frequencyCount,frequencyPeriod,details,facilitatorType,facilitatorRole,facilitatorResourceId,location,remoteCapable,prep,backups,skipAdjustment,metrics
act-092,6,"Guided meditation supports parasympathetic recovery and sleep quality, complementing physical recovery modalities in a longevity program.",therapy,4,week,"15-minute guided mindfulness or body-scan meditation in a quiet, dimly lit room; can be done via an app with a coach check-in.",alliedHealth,health coach,,home,true,Silence notifications and set a comfortable seated position.,act-091,Do a 5-minute unguided breathing session before bed.,duration_min|hrv|perceived_recovery
act-096,6,"Heat acclimation via sauna bathing has been linked to improved endurance performance and thermoregulation, valuable given Singapore's climate and the member's travel.",therapy,1,week,"Heat-adaptation infrared sauna block at 60C for 25 minutes, monitored for tolerance; exit early if lightheaded.",self,,,Elyx clinic,false,Hydrate with electrolytes; avoid alcohol in the prior 24 hours.,act-083,Reduce to a shorter 15-minute session at lower temperature.,duration_min|temp_c|hrv
act-099,6,A pre-sleep contrast shower routine offers an accessible thermal-recovery stimulus on days when clinic facilities are unavailable due to travel.,therapy,2,week,"Home contrast shower: alternate 3 minutes warm (38-40C) with 30 seconds cold for 3 cycles, finishing cold.",self,,,home,false,,act-085,Finish a normal shower with 60 seconds of cold water.,duration_min|temp_c|perceived_recovery
act-108,6,Regular dietitian review sustains protein adequacy and dietary patterns shown to improve metabolic and body-composition outcomes between physician visits.,consultation,1,month,"Dietitian review of food logs, protein and fiber intake, energy balance and supplement plan; adjust the meal strategy toward current body-composition targets.",alliedHealth,dietitian,,video call,true,Submit a 3-day food log and latest body weight before the session.,async food-log review,"If skipped, continue the current meal plan and provide written feedback on the submitted food log instead.",protein_intake_g|caloric_intake|fiber_g|body_weight
act-109,6,"A physiotherapy assessment identifies movement deficits and asymmetries that, left unaddressed, increase injury risk and limit training progression.",consultation,4,year,"Physiotherapy assessment of movement quality, joint range of motion, strength balance and functional screening; prescribe corrective exercises.",alliedHealth,physiotherapist,,Elyx clinic,false,Wear athletic clothing that allows full joint movement.,video movement screen,"If skipped, continue the existing corrective program and run a guided self-assessment over video within 2 weeks.",fms_score|grip_strength|joint_rom|single_leg_balance
act-111,6,"A sleep physician follow-up confirms that any therapy is normalizing breathing and sleep quality, since untreated residual events erode cardiometabolic benefit.",consultation,2,year,"Sleep physician follow-up to review therapy adherence and residual apnea data, adjust device pressures or behavioral sleep strategy, and reassess daytime sleepiness.",specialist,sleep physician,sp-04,video call,true,Sync device or wearable sleep data for the prior 30 nights before the call.,async sleep-data review,"If skipped, maintain current settings and review uploaded adherence data asynchronously within 2 weeks.",ahi|cpap_adherence_hrs|epworth_score
act-113,6,"Daily clinic sauna maximizes heat-adaptation benefit, but daily cadence collides with travel and clinic hours to stress-test the scheduler.",therapy,1,day,"Daily infrared sauna at the clinic, 20 min at 55-60C; on-site only.",self,,,Elyx clinic,false,Hydrate beforehand.,act-099,"On travel/closed days, substitute a home contrast shower (act-099).",duration_min|temp_c|hrv
act-012,7,"Easy recovery cardio promotes active recovery and parasympathetic tone, supporting adaptation between hard sessions.",fitness,2,week,"Easy recovery spin or row, 25 min at HR below 60% max; focus on smooth cadence and relaxed breathing.",self,,,Elyx gym,false,HR strap on; keep effort deliberately light.,act-006|easy outdoor walk,Replace with a gentle 25-min walk to keep blood flow without adding load.,avg_hr|duration_min|distance_km
act-013,7,"Tempo running raises lactate threshold, improving the pace sustainable before fatigue and enhancing functional endurance.",fitness,1,week,"Tempo run, 25 min continuous at HR 80-87% max (comfortably hard) bracketed by 10-min easy warm-up and cool-down.",self,,,Elyx gym,false,Confirm target tempo pace from last assessment; HR strap fitted.,act-005|act-009,Convert to a moderate Zone-2 run if legs are fatigued from prior sessions.,avg_hr|max_hr|duration_min|distance_km
act-031,7,"Near-far focus shifts train ciliary muscle flexibility, helping preserve accommodative range against presbyopic decline.",fitness,1,day,"Near-far focusing: hold thumb 25 cm away, focus 5 sec, then shift to a distant object 5 sec; 10 cycles, followed by 30 sec palming.",self,,,home,true,,act-030|Figure-eight eye tracking,Combine with the next day's session for 20 cycles.,reps|hold_sec
act-040,7,"Pre-session mobility prep improves tissue readiness and range of motion, lowering acute strain risk during loaded training.",fitness,3,week,"Floor-based mobility flow: cat-camel 2 x 10, world's-greatest-stretch 2 x 5 per side, banded shoulder dislocates 2 x 10; move through full pain-free range.",self,,,home,true,Lay out mat and have resistance band ready.,act-027|act-032,Perform an abbreviated 5-min version before the next workout.,sets|reps|rom_deg
act-050,7,Pre-workout carbohydrate plus protein improves training output and protects lean mass during sessions.,food,3,week,"Pre-workout fuel: 60-90 min before training eat ~30 g slow carbs with 20 g protein (oats with whey, or banana with Greek yogurt).",self,,,home,false,meal pre-cooked,act-051,Have a small banana 20 minutes before the session for quick fuel.,protein_g|calories|meal_logged
act-056,7,Cruciferous vegetables supply sulforaphane precursors linked to detoxification and anti-inflammatory pathways.,food,4,week,"Cruciferous veg: eat 1 cup broccoli, cauliflower, or Brussels sprouts lightly steamed to preserve glucosinolates.",self,,,home,false,groceries delivered,act-044,Add a cruciferous side to the next two dinners.,fiber_g|meal_logged
act-061,7,"Limiting alcohol reduces sleep disruption, blood-pressure load, and long-term cancer risk.",food,1,week,Limit alcohol: cap at 3 standard drinks per week with at least 4 alcohol-free days; prefer red wine with meals if drinking.,self,,,home,false,,,Carry the unused allowance forward as additional alcohol-free days.,meal_logged
act-064,7,Weekly guided meal planning sustains nutrition adherence and adapts targets to lab and body-composition trends.,food,1,week,"Weekly meal planning: hold a 30-minute session to set the week's menu, macros, and grocery list aligned to current goals.",alliedHealth,dietitian,,home,true,groceries delivered,,Reuse the prior week's plan and adjust asynchronously over chat.,meal_logged|calories
act-087,7,"Foam rolling improves short-term flexibility and reduces muscle stiffness without impairing performance, offering a low-cost daily recovery aid.",therapy,5,week,"10-minute full-body foam rolling sequence; spend 30-45 seconds per major muscle group, breathing slowly and avoiding joints.",self,,,home,false,Lay out yoga mat in a clear space.,act-088,Replace with 5 minutes of static stretching for the most fatigued muscle groups.,duration_min|perceived_recovery
act-088,7,"Percussive therapy acutely increases local blood flow and reduces perceived muscle tension, making it a convenient adjunct on travel or rest days.",therapy,4,week,"Percussive recovery: use massage gun for 10 minutes on tight muscle groups at medium amplitude; 60-90 seconds per area, never on bone or joints.",self,,,home,false,Charge the device and select an appropriate attachment head.,act-087,Perform manual self-massage and gentle stretching for the same regions.,duration_min|perceived_recovery
act-095,7,Evening percussive therapy on the calves and feet can ease tension and support the wind-down routine that precedes restorative sleep.,therapy,3,week,"5-7 minute evening massage-gun session on calves, feet, and shoulders at low amplitude as part of a pre-sleep wind-down.",self,,,home,false,Charge the device beforehand.,act-087,Do gentle calf and shoulder stretches before bed.,duration_min|perceived_recovery
act-100,7,"A weekly coach-guided recovery breathwork session reinforces technique and adherence, sustaining the HRV and stress-resilience gains of daily practice.",therapy,1,week,20-minute guided recovery breathwork session with a health coach covering paced breathing and progressive relaxation; delivered in person or via video.,alliedHealth,health coach,,home,true,Find a quiet space and wear the HR chest strap for HRV tracking.,act-091|act-092,Complete a 10-minute self-guided breathing session and log HRV.,duration_min|hrv|perceived_recovery
act-110,7,"Frequent health-coaching check-ins drive behavior-change adherence, the factor most responsible for whether prescribed interventions translate into outcomes.",consultation,2,month,"Health-coaching check-in to review adherence, stress, daily activity and sleep habits; remove barriers and set short-term behavioral goals.",alliedHealth,health coach,,video call,true,,async messaging check-in,"If skipped, send a written progress summary and reschedule within the same week to preserve momentum.",adherence_pct|stress_score|steps_daily|sleep_duration
act-014,8,"Trainer-coached interval refresh sharpens running economy and pacing discipline, sustaining gains from harder sessions.",fitness,2,month,Remote-coached 35-min interval session: 6x2 min at 85% max HR with 2-min recoveries; trainer cues cadence and form via video.,alliedHealth,personal trainer,,home,true,Set up treadmill/bike with video link; HR strap paired to display.,act-002|act-008,Self-run the interval template using saved targets.,avg_hr|max_hr|duration_min|vo2max
act-015,8,"Brisk incline treadmill walking elevates aerobic demand with low impact, ideal for travel days and joint-conscious volume.",fitness,2,week,"Incline treadmill walk, 35 min at 8-12% grade, 5-5.5 km/h, HR 65-75% max; maintain upright posture without handrail support.",self,,,Elyx gym,false,Set incline program; HR strap fitted; supportive shoes.,act-006|outdoor hill walk,Replace with an outdoor brisk uphill walk of equal duration.,avg_hr|max_hr|duration_min|distance_km|zone2_min
act-059,8,Green tea catechins offer mild metabolic and antioxidant benefits with minimal downside.,food,2,day,"Green tea: drink 2 cups unsweetened green tea daily, ideally between meals to avoid blunting iron absorption.",self,,,home,false,,,Substitute with matcha or an extra cup the next day.,hydration_ml|meal_logged
act-063,8,Spacing the last meal well before bed improves overnight glucose control and sleep quality.,food,1,day,Early dinner: finish the final meal at least 3 hours before bedtime; keep it lighter and protein-focused if late.,self,,,home,false,,,Keep a late meal small and add a short post-meal walk.,fasting_hours|meal_logged
act-078,8,"Electrolyte replacement around training and travel maintains hydration and performance in Singapore's heat, reducing cramping and fatigue.",medication,3,week,"One electrolyte sachet (sodium ~500 mg, potassium, magnesium) mixed in 500 ml water on training days, sipped during or after sessions.",self,,,home,false,Dissolve sachet fully in 500 ml water before drinking.,,skip if not training that day; do not stockpile doses,adherence_logged|dose_mg
act-090,8,"Brief morning cold plunge exposure may improve alertness and mood through sympathetic activation, supporting consistent daily energy.",therapy,2,week,Morning cold plunge at 12-14C for 2-3 minutes; focus on slow nasal breathing and exit if shivering becomes intense.,self,,,Elyx clinic,false,Schedule before breakfast; have warm clothing ready for rewarming.,act-084,Finish a morning shower with 60 seconds of cold water instead.,duration_min|temp_c|perceived_recovery
act-097,8,A short restorative yoga-mat mobility and breathing flow promotes relaxation and joint mobility with minimal training interference.,therapy,3,week,15-minute restorative mobility and breathing flow on a yoga mat; hold gentle positions for 5-8 slow breaths each.,self,,,home,false,Lay out the mat in a quiet area.,act-091|act-092,Perform 5 minutes of seated breathing and gentle neck mobility.,duration_min|perceived_recovery
act-016,9,"Short daily cardio breaks counteract sedentary time, blunting post-meal glucose spikes that compound metabolic risk over time.",fitness,2,day,"10-min easy movement snack (walk or light spin) within 30 min after main meals; keep HR gentle, just elevated above rest.",self,,,home,false,None.,act-006,Combine into one 20-min walk later in the day.,duration_min|avg_hr
act-017,9,A weekend long cycle adds enjoyable aerobic volume and aids active recovery while reinforcing fat-oxidation adaptations.,fitness,1,week,"Outdoor or indoor long ride, 60-90 min at Zone-2 HR 60-70% max; steady cadence, fuel lightly mid-ride if over 75 min.",self,,,outdoor,false,Check bike/tyres or set indoor bike; hydration and snack packed; HR strap on.,act-010|act-007,Substitute a 60-min indoor Zone-2 bike session if weather or time blocks the ride.,avg_hr|max_hr|duration_min|distance_km|zone2_min
act-018,10,"Periodic conditioning fitness benchmarks provide motivating, objective feedback that supports long-term adherence to the aerobic plan.",fitness,1,month,"Self-administered 2 km row time trial for all-out effort; log split, peak HR, and recovery HR at 1 min post.",self,,,Elyx gym,false,Full 10-min warm-up; HR strap fitted; rested legs (no hard session prior day).,act-005,Defer benchmark to next month and continue normal sessions.,duration_min|distance_km|max_hr|avg_hr
act-019,10,"A mobility-focused cardio cooldown reduces post-session stiffness and supports circulation, lowering perceived training burden.",fitness,3,week,"8-10 min easy cardio flush (light walk or spin) immediately after hard sessions, HR drifting back toward 50% max.",self,,,Elyx gym,false,None; follows directly after main session.,act-016,Add 5 min easy walking at home that evening.,duration_min|avg_hr
act-020,10,An optional trainer-led group conditioning class adds social variety that improves long-term motivation and consistency.,fitness,1,month,"45-min coached mixed conditioning class (bike, row, bodyweight intervals); keep average HR in moderate 70-80% max range.",alliedHealth,personal trainer,,Elyx gym,true,Reserve class slot; HR strap fitted; hydrate.,act-008|act-004,Replace with a self-directed moderate cardio session of equal duration.,avg_hr|max_hr|duration_min
